id,Date,Open,High,Low,Close,Volume,movel_26,movel_10,MACD
0,2001-04-09,11.84,11.9,10.7,11.18,23281900,10.551923076900001,9.747,-0.8049230769000015
1,2001-04-10,11.24,13.5,11.2,12.01,18532400,10.5284615385,9.784,-0.7444615385000013
2,2001-04-11,13.1,13.75,12.18,13.32,13214100,10.5838461538,10.036,-0.5478461538000001
3,2001-04-12,13.05,15.01,13.0,14.67,11266000,10.676923076900001,10.503,-0.1739230769000013
4,2001-04-16,14.5,14.54,13.65,14.03,6126500,10.766923076900001,10.883,0.11607692309999786
5,2001-04-17,13.81,15.63,13.75,14.74,4840200,10.8626923077,11.447,0.5843076923000012
6,2001-04-18,15.66,18.16,15.55,16.54,19287400,11.0903846154,12.238,1.1476153846
7,2001-04-19,16.9,16.9,15.69,15.99,8337400,11.2823076923,12.997,1.7146923077
8,2001-04-20,15.62,16.2,14.97,15.78,8401000,11.4807692308,13.663,2.1822307692000003
9,2001-04-23,16.39,17.46,16.02,16.2,11567900,11.6853846154,14.446,2.7606153845999994
10,2001-04-24,16.44,17.62,15.48,15.68,6168400,11.8653846154,14.896,3.0306153845999986
11,2001-04-25,15.69,16.1,14.6,16.09,9234300,12.0803846154,15.304,3.2236153846000004
12,2001-04-26,16.3,16.5,15.0,15.43,5884000,12.2796153846,15.515,3.2353846154000014
13,2001-04-27,15.72,15.73,15.02,15.27,4497700,12.482307692300001,15.575,3.0926923076999984
14,2001-04-30,15.63,16.9,15.59,15.78,5479200,12.6973076923,15.75,3.0526923076999988
15,2001-05-01,15.9,17.05,15.8,16.89,4930300,12.955,15.965,3.01
16,2001-05-02,17.14,17.43,16.84,17.11,7437700,13.1923076923,16.022000000000002,2.829692307700002
17,2001-05-03,16.83,17.0,16.25,16.75,4962700,13.388846153800001,16.098,2.7091538461999978
18,2001-05-04,16.35,17.6,15.93,17.56,6122600,13.648846153800001,16.276,2.6271538461999993
19,2001-05-07,17.36,17.53,16.51,16.92,4983900,13.915,16.348,2.4330000000000003
20,2001-05-08,16.28,16.49,15.6,16.18,6290000,14.143846153800002,16.398,2.2541538461999977
21,2001-05-09,15.56,15.66,15.0,15.01,4604900,14.371153846199999,16.29,1.9188461538000008
22,2001-05-10,15.4,15.64,12.85,14.62,4832800,14.6015384615,16.209,1.607461538499999
23,2001-05-11,14.55,14.8,14.0,14.68,3341000,14.8430769231,16.15,1.3069230768999986
24,2001-05-14,14.53,14.53,13.15,13.33,6040300,15.005,15.905,0.8999999999999986
25,2001-05-15,13.35,14.3,13.14,13.54,6032800,15.2038461538,15.57,0.3661538461999996
26,2001-05-16,13.45,14.38,13.1,14.13,5678400,15.3173076923,15.272,-0.045307692299999765
27,2001-05-17,14.09,15.0,14.03,14.78,6220900,15.423846153800001,15.075,-0.3488461538000021
28,2001-05-18,14.8,15.0,14.5,14.72,4952100,15.4776923077,14.791,-0.6866923077000013
29,2001-05-21,14.95,16.43,14.75,16.38,7096700,15.543461538499999,14.737,-0.8064615384999989
30,2001-05-22,16.79,17.0,15.9,16.25,7264100,15.628846153800001,14.744000000000002,-0.8848461537999999
31,2001-05-23,16.2,16.8,15.09,15.6,8849500,15.6619230769,14.803,-0.8589230769000018
32,2001-05-24,15.71,16.75,15.25,16.75,5214100,15.67,15.015999999999998,-0.6540000000000017
33,2001-05-25,16.65,17.53,16.37,17.09,6872300,15.7123076923,15.257,-0.4553076922999999
34,2001-05-29,17.25,17.54,16.7,17.22,9246300,15.767692307699999,15.646,-0.12169230770000004
35,2001-05-30,16.54,17.0,15.62,15.66,8655400,15.7469230769,15.858,0.11107692309999884
36,2001-05-31,15.84,17.2,15.75,16.69,8745300,15.7857692308,16.114,0.32823076920000105
37,2001-06-01,17.2,17.31,16.39,16.95,6092700,15.818846153800001,16.331,0.5121538461999986
38,2001-06-04,17.32,17.4,16.15,16.91,6119900,15.8757692308,16.55,0.6742307692000011
39,2001-06-05,17.06,17.5,16.0,16.44,12634200,15.9207692308,16.555999999999994,0.6352307691999979
40,2001-06-06,16.67,16.72,15.48,15.99,9623200,15.9288461538,16.53,0.6011538462000008
41,2001-06-07,15.82,16.23,15.69,16.13,3371700,15.8996153846,16.583,0.6833846153999978
42,2001-06-08,16.25,16.33,15.6,15.7,2417100,15.8453846154,16.477999999999998,0.6326153845999976
43,2001-06-11,15.5,15.55,14.6,14.86,4903100,15.7726923077,16.255,0.4823076922999992
44,2001-06-12,14.6,14.79,14.32,14.64,4291400,15.6603846154,15.997,0.3366153846
45,2001-06-13,14.96,15.15,14.1,14.12,3713100,15.5526923077,15.843,0.29030769230000075
46,2001-06-14,14.12,14.12,13.16,13.29,5036700,15.4415384615,15.503,0.06146153849999969
47,2001-06-15,13.01,13.46,12.21,12.49,7367300,15.3446153846,15.057,-0.2876153846000005
48,2001-06-18,12.45,12.7,11.67,11.83,5463900,15.2373076923,14.549,-0.6883076922999987
49,2001-06-19,12.45,12.65,11.2,11.36,6036900,15.1096153846,14.041,-1.068615384600001
50,2001-06-20,11.27,12.7,11.2,12.53,10374900,15.0788461538,13.695,-1.3838461538000004
51,2001-06-21,12.68,13.2,12.59,13.08,9725500,15.061153846199998,13.39,-1.6711538461999975
52,2001-06-22,13.13,13.28,12.37,12.4,6192000,14.994615384600001,13.06,-1.9346153846000007
53,2001-06-25,12.71,13.14,12.57,12.81,6420300,14.9188461538,12.855,-2.0638461538
54,2001-06-26,12.54,13.74,12.04,13.25,6364100,14.8623076923,12.716,-2.1463076923000006
55,2001-06-27,13.81,14.25,13.65,14.04,7546200,14.7723076923,12.708,-2.0643076923
56,2001-06-28,14.23,14.59,13.77,14.36,5333600,14.6996153846,12.815,-1.8846153846
57,2001-06-29,14.31,14.65,13.72,14.15,4492200,14.643846153800002,12.981,-1.662846153800002
58,2001-07-02,14.1,14.99,13.85,14.53,6305300,14.5584615385,13.251,-1.3074615385
59,2001-07-03,14.49,14.5,14.0,14.13,2662400,14.4446153846,13.528,-0.9166153846000018
60,2001-07-05,14.28,15.45,14.2,15.27,11839300,14.369615384600001,13.802,-0.5676153846000016
61,2001-07-06,14.9,15.72,14.8,15.27,8874500,14.3546153846,14.021,-0.3336153846000016
62,2001-07-09,15.35,15.9,15.11,15.81,7878300,14.3207692308,14.362,0.04123076920000024
63,2001-07-10,16.08,16.12,14.82,15.61,8380200,14.2692307692,14.642,0.3727692308000013
64,2001-07-11,15.43,15.8,14.95,15.34,5305200,14.208846153800001,14.851,0.6421538461999976
65,2001-07-12,15.7,16.54,15.7,16.49,5932700,14.210769230799999,15.095999999999998,0.8852307691999997
66,2001-07-13,16.26,17.0,16.1,16.98,6670800,14.2488461538,15.358,1.109153846199998
67,2001-07-16,16.94,17.42,16.01,16.01,7113400,14.244230769200001,15.544,1.299769230799999
68,2001-07-17,15.84,16.49,15.83,16.35,3662800,14.2692307692,15.726,1.4567692307999989
69,2001-07-18,16.07,16.65,15.88,15.96,3626300,14.311538461500001,15.909,1.5974615384999993
70,2001-07-19,16.15,16.8,16.14,16.49,5148300,14.3826923077,16.031,1.6483076922999995
71,2001-07-20,16.53,17.25,16.45,16.98,3644700,14.4926923077,16.202,1.7093076923000012
72,2001-07-23,17.02,17.13,15.96,16.03,6344300,14.598076923099999,16.224,1.6259230769000013
73,2001-07-24,13.65,14.0,11.9,12.06,32395100,14.581538461500001,15.869000000000002,1.2874615385000006
74,2001-07-25,12.29,12.31,11.07,11.51,12467300,14.5692307692,15.486,0.9167692307999982
75,2001-07-26,11.67,12.75,11.23,12.43,10067400,14.6103846154,15.08,0.4696153846000009
76,2001-07-27,12.33,12.43,11.7,12.25,8905600,14.5996153846,14.607,0.007384615400001238
77,2001-07-30,12.21,12.75,11.98,12.55,4930900,14.5792307692,14.261,-0.3182307692000013
78,2001-07-31,12.64,12.86,12.33,12.49,4286800,14.5826923077,13.875,-0.7076923077000004
79,2001-08-01,12.73,12.86,12.17,12.5,5432100,14.5707692308,13.529000000000002,-1.0417692307999982
80,2001-08-02,12.59,12.6,12.1,12.19,3832700,14.53,13.099,-1.4309999999999992
81,2001-08-03,12.24,12.39,12.11,12.15,3040500,14.4573076923,12.616,-1.8413076923000011
82,2001-08-06,12.18,12.2,11.85,11.9,2535700,14.3626923077,12.203,-2.1596923077000003
83,2001-08-07,11.89,11.9,11.52,11.6,2517600,14.2646153846,12.157,-2.1076153846000008
84,2001-08-08,11.51,11.55,11.03,11.11,3336700,14.133076923099999,12.117,-2.0160769230999978
85,2001-08-09,11.14,11.17,10.25,10.46,5918600,13.991923076900001,11.92,-2.071923076900001
86,2001-08-10,10.58,10.65,9.94,9.95,9028400,13.7873076923,11.69,-2.097307692300001
87,2001-08-13,10.1,10.3,9.77,10.12,4790500,13.5892307692,11.447,-2.1422307691999998
88,2001-08-14,10.32,11.04,10.27,10.53,4782800,13.3861538462,11.251,-2.1351538462
89,2001-08-15,10.54,10.83,10.0,10.08,3314200,13.1734615385,11.009,-2.1644615384999994
90,2001-08-16,10.08,10.15,9.4,9.81,6180200,12.960769230799999,10.771,-2.1897692308
91,2001-08-17,9.51,10.1,9.45,9.99,5275200,12.710769230799999,10.555,-2.155769230799999
92,2001-08-20,10.19,10.46,9.95,10.4,3573900,12.4576923077,10.405,-2.052692307700001
93,2001-08-21,10.7,10.79,9.82,9.89,5080400,12.2223076923,10.234,-1.9883076922999996
94,2001-08-22,10.16,10.25,9.59,10.2,4060200,11.985769230799999,10.143,-1.8427692308
95,2001-08-23,10.13,10.16,9.57,9.63,3834300,11.7423076923,10.06,-1.6823076923000002
96,2001-08-24,9.84,10.3,9.72,10.23,3419400,11.501538461500001,10.088,-1.4135384615000015
97,2001-08-27,10.09,10.27,9.91,10.13,2553700,11.2380769231,10.089,-1.1490769230999989
98,2001-08-28,10.12,10.15,9.56,9.97,2908700,11.005,10.033,-0.9720000000000012
99,2001-08-29,10.04,10.05,9.01,9.19,3763300,10.8946153846,9.944,-0.9506153846000008
100,2001-08-30,9.06,9.49,8.55,8.69,5636900,10.7861538462,9.832,-0.9541538461999988
101,2001-08-31,8.7,9.3,8.69,8.94,3566000,10.651923076900001,9.727,-0.9249230769000008
102,2001-09-04,8.95,9.19,8.52,8.59,4811000,10.511153846200001,9.546,-0.9651538462000016
103,2001-09-05,8.66,8.68,6.85,7.65,18681100,10.3226923077,9.322,-1.0006923076999996
104,2001-09-06,7.84,8.19,7.67,8.15,6927200,10.1557692308,9.117,-1.0387692307999998
105,2001-09-07,7.96,8.61,7.85,8.51,7028100,10.0023076923,9.005,-0.9973076922999996
106,2001-09-10,8.4,8.65,8.06,8.63,5638400,9.86538461538,8.845,-1.0203846153799994
